COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
TOTOECD,BALANCE,CRNGFEED,BACKFLOW,2021,35216.951
TOTOECD,BALANCE,TOTPRODS,BACKFLOW,2021,35216.951
TOTOECD,BALANCE,TOTPRODS,BUNKERS,2021,78108.971
TOTOECD,BALANCE,CRNGFEED,CSNATTER,2021,290612.172
TOTOECD,BALANCE,TOTPRODS,CSNATTER,2021,201089.712
TOTOECD,BALANCE,CRNGFEED,DIRECUSE,2021,258871.999
TOTOECD,BALANCE,TOTPRODS,GDINCTRO,2021,1805483.029
TOTOECD,BALANCE,CRNGFEED,INDPROD,2021,1241792.996
TOTOECD,BALANCE,TOTPRODS,IPTRANSF,2021,0.0
TOTOECD,BALANCE,TOTPRODS,NETDELIC,2021,1770266.078
TOTOECD,BALANCE,CRNGFEED,OSNATTER,2021,318972.412
TOTOECD,BALANCE,TOTPRODS,OSNATTER,2021,225260.259
TOTOECD,BALANCE,CRNGFEED,OSOURCES,2021,86800.349
TOTOECD,BALANCE,TOTPRODS,PPRECPTS,2021,258871.999
TOTOECD,BALANCE,CRNGFEED,PTRANSF,2021,66129.144
TOTOECD,BALANCE,TOTPRODS,PTRANSF,2021,66129.144
TOTOECD,BALANCE,TOTPRODS,RECYCLED,2021,1340.279
TOTOECD,BALANCE,TOTPRODS,REFFUEL,2021,76372.238
TOTOECD,BALANCE,TOTPRODS,REFGROUT,2021,1809726.311
TOTOECD,BALANCE,CRNGFEED,REFINOBS,2021,1850955.879
TOTOECD,BALANCE,CRNGFEED,REFLOSS,2021,41229.568
TOTOECD,BALANCE,CRNGFEED,STATDIFF,2021,-26808.0
TOTOECD,BALANCE,TOTPRODS,STATDIFF,2021,22503.899
TOTOECD,BALANCE,CRNGFEED,STCHANAT,2021,-28420.241
TOTOECD,BALANCE,TOTPRODS,STCHANAT,2021,-24393.372
TOTOECD,BALANCE,CRNGFEED,TOTEXPSB,2021,567266.531
TOTOECD,BALANCE,TOTPRODS,TOTEXPSB,2021,652344.541
TOTOECD,BALANCE,CRNGFEED,TOTIMPSB,2021,1191926.728
TOTOECD,BALANCE,TOTPRODS,TOTIMPSB,2021,606609.861
TOTOECD,BALANCE,CRNGFEED,BACKFLOW,2022,37052.072
TOTOECD,BALANCE,TOTPRODS,BACKFLOW,2022,37052.072
TOTOECD,BALANCE,TOTPRODS,BUNKERS,2022,82889.655
TOTOECD,BALANCE,CRNGFEED,CSNATTER,2022,266144.473
TOTOECD,BALANCE,TOTPRODS,CSNATTER,2022,203279.405
TOTOECD,BALANCE,CRNGFEED,DIRECUSE,2022,273846.342
TOTOECD,BALANCE,TOTPRODS,GDINCTRO,2022,1853454.898
TOTOECD,BALANCE,CRNGFEED,INDPROD,2022,1286496.431
TOTOECD,BALANCE,TOTPRODS,IPTRANSF,2022,0.0
TOTOECD,BALANCE,TOTPRODS,NETDELIC,2022,1816402.826
TOTOECD,BALANCE,CRNGFEED,OSNATTER,2022,290612.172
TOTOECD,BALANCE,TOTPRODS,OSNATTER,2022,201089.712
TOTOECD,BALANCE,CRNGFEED,OSOURCES,2022,90638.382
TOTOECD,BALANCE,TOTPRODS,PPRECPTS,2022,273846.342
TOTOECD,BALANCE,CRNGFEED,PTRANSF,2022,71589.162
TOTOECD,BALANCE,TOTPRODS,PTRANSF,2022,71589.162
TOTOECD,BALANCE,TOTPRODS,RECYCLED,2022,1325.684
TOTOECD,BALANCE,TOTPRODS,REFFUEL,2022,80001.586
TOTOECD,BALANCE,TOTPRODS,REFGROUT,2022,1901814.751
TOTOECD,BALANCE,CRNGFEED,REFINOBS,2022,1942966.401
TOTOECD,BALANCE,CRNGFEED,REFLOSS,2022,41151.65
TOTOECD,BALANCE,CRNGFEED,STATDIFF,2022,-44945.267
TOTOECD,BALANCE,TOTPRODS,STATDIFF,2022,21955.788
TOTOECD,BALANCE,CRNGFEED,STCHANAT,2022,-24473.41
TOTOECD,BALANCE,TOTPRODS,STCHANAT,2022,2238.7090000000003
TOTOECD,BALANCE,CRNGFEED,TOTEXPSB,2022,586361.782
TOTOECD,BALANCE,TOTPRODS,TOTEXPSB,2022,674913.93
TOTOECD,BALANCE,CRNGFEED,TOTIMPSB,2022,1247979.801
TOTOECD,BALANCE,TOTPRODS,TOTIMPSB,2022,610056.951
TOTOECD,BALANCE,CRNGFEED,BACKFLOW,3Q2023,9694.355
TOTOECD,BALANCE,TOTPRODS,BACKFLOW,3Q2023,9694.355
TOTOECD,BALANCE,TOTPRODS,BUNKERS,3Q2023,18629.903
TOTOECD,BALANCE,CRNGFEED,CSNATTER,3Q2023,260218.715
TOTOECD,BALANCE,TOTPRODS,CSNATTER,3Q2023,207350.942
TOTOECD,BALANCE,CRNGFEED,DIRECUSE,3Q2023,71672.151
TOTOECD,BALANCE,TOTPRODS,GDINCTRO,3Q2023,471368.724
TOTOECD,BALANCE,CRNGFEED,INDPROD,3Q2023,345364.653
TOTOECD,BALANCE,TOTPRODS,IPTRANSF,3Q2023,0.0
TOTOECD,BALANCE,TOTPRODS,NETDELIC,3Q2023,461674.369
TOTOECD,BALANCE,CRNGFEED,OSNATTER,3Q2023,267408.81
TOTOECD,BALANCE,TOTPRODS,OSNATTER,3Q2023,204181.956
TOTOECD,BALANCE,CRNGFEED,OSOURCES,3Q2023,23731.488
TOTOECD,BALANCE,TOTPRODS,PPRECPTS,3Q2023,71672.151
TOTOECD,BALANCE,CRNGFEED,PTRANSF,3Q2023,24745.891
TOTOECD,BALANCE,TOTPRODS,PTRANSF,3Q2023,24745.891
